
########################
###### TV-OSMOSIS ######
########################

experiment: 1
alpha blur: no
initial.  : u0 = f

###### PARAMETERS ######
-- model --
eta             : 0.50
mu              : 100.00
gamma           : 1.00
epsilon (huber) : 0.05
-- iPiano --
beta1           : 0.40
beta2           : 0.40
lambda1         : 2.00
lambda2         : 1.20
L1 (starting)   : 1.00
L2 (starting)   : 1.00
tol iPiano      : 1.00e-06
maxiter         : 10000
-- Primal-Dual --
tol PD          : 1.00e-04
maxiter PD      : 10000
-------------------------------------------------------------------------
  ITER   | (   L1    |    L2   ) |   energy   |   diff   |  PD Res (iter) 
-------------------------------------------------------------------------
   001   | (4.00e+00 | 1.28e+02) | 8.1756e+03 | 3.90e-02 | 9.70e-05 (41)
   002   | (3.33e+00 | 1.07e+02) | 7.8428e+03 | 4.07e-02 | 9.85e-05 (43)
   003   | (2.78e+00 | 8.89e+01) | 7.6414e+03 | 2.57e-02 | 9.96e-05 (45)
   004   | (2.31e+00 | 1.48e+02) | 7.5607e+03 | 1.06e-02 | 9.64e-05 (39)
   005   | (1.93e+00 | 1.23e+02) | 7.5221e+03 | 5.10e-03 | 9.80e-05 (41)
   006   | (1.61e+00 | 1.03e+02) | 7.4991e+03 | 3.07e-03 | 9.99e-05 (43)
   007   | (1.34e+00 | 8.57e+01) | 7.4821e+03 | 2.27e-03 | 9.68e-05 (46)
   008   | (1.12e+00 | 7.14e+01) | 7.4679e+03 | 1.90e-03 | 9.88e-05 (48)
   009   | (9.30e-01 | 5.95e+01) | 7.4554e+03 | 1.67e-03 | 9.62e-05 (51)
   010   | (7.75e-01 | 3.97e+02) | 7.4452e+03 | 1.36e-03 | 9.58e-05 (28)
   011   | (6.46e-01 | 6.62e+02) | 7.4370e+03 | 1.11e-03 | 9.67e-05 (23)
   012   | (5.38e-01 | 4.41e+03) | 7.4302e+03 | 9.07e-04 | 8.43e-05 (12)
   013   | (4.49e-01 | 7.35e+03) | 7.4247e+03 | 7.42e-04 | 8.74e-05 (10)
